month,day,year,avgtemp,city
1,1,2017,76.3,miami
1,2,2017,79.7,miami
1,3,2017,79.5,miami
1,4,2017,76.1,miami
1,5,2017,74.3,miami
1,6,2017,72.1,miami
1,7,2017,77.6,miami
1,8,2017,59.1,miami
1,9,2017,60.6,miami
1,10,2017,69.6,miami
1,11,2017,72.1,miami
1,12,2017,75.1,miami
1,13,2017,75.6,miami
1,14,2017,74.2,miami
1,15,2017,75.6,miami
1,16,2017,76.8,miami
1,17,2017,76,miami
1,18,2017,74.8,miami
1,19,2017,73.6,miami
1,20,2017,73.8,miami
1,21,2017,74.2,miami
1,22,2017,78.8,miami
1,23,2017,77,miami
1,24,2017,70.5,miami
1,25,2017,69.6,miami
1,26,2017,73.6,miami
1,27,2017,74.8,miami
1,28,2017,67.7,miami
1,29,2017,60.2,miami
1,30,2017,60.5,miami
1,31,2017,61.8,miami
2,1,2017,68.8,miami
2,2,2017,71.3,miami
2,3,2017,73,miami
2,4,2017,72.7,miami
2,5,2017,73.2,miami
2,6,2017,73.1,miami
2,7,2017,75.5,miami
2,8,2017,76.1,miami
2,9,2017,73.5,miami
2,10,2017,71.8,miami
2,11,2017,71.6,miami
2,12,2017,71.2,miami
2,13,2017,71.3,miami
2,14,2017,72.3,miami
2,15,2017,73.4,miami
2,16,2017,72.9,miami
2,17,2017,66.1,miami
2,18,2017,70.4,miami
2,19,2017,75.2,miami
2,20,2017,72.3,miami
2,21,2017,70.2,miami
2,22,2017,68.4,miami
2,23,2017,69.2,miami
2,24,2017,67.3,miami
2,25,2017,73.3,miami
2,26,2017,73.7,miami
2,27,2017,77,miami
2,28,2017,77.8,miami
3,1,2017,76.8,miami
3,2,2017,76.3,miami
3,3,2017,73.9,miami
3,4,2017,72.6,miami
3,5,2017,71.4,miami
3,6,2017,70.1,miami
3,7,2017,72.3,miami
3,8,2017,73.6,miami
3,9,2017,73.5,miami
3,10,2017,74.1,miami
3,11,2017,74.3,miami
3,12,2017,75.4,miami
3,13,2017,73.8,miami
3,14,2017,73.3,miami
3,15,2017,63.6,miami
3,16,2017,61.4,miami
3,17,2017,64.8,miami
3,18,2017,69.6,miami
3,19,2017,70.4,miami
3,20,2017,70.4,miami
3,21,2017,70.9,miami
3,22,2017,68.4,miami
3,23,2017,73.8,miami
3,24,2017,72.8,miami
3,25,2017,74.3,miami
3,26,2017,74.4,miami
3,27,2017,74.8,miami
3,28,2017,74.4,miami
3,29,2017,77.2,miami
3,30,2017,76.8,miami
3,31,2017,78.6,miami
4,1,2017,79.9,miami
4,2,2017,80,miami
4,3,2017,80.1,miami
4,4,2017,80.4,miami
4,5,2017,80,miami
4,6,2017,78.2,miami
4,7,2017,71,miami
4,8,2017,68.3,miami
4,9,2017,73,miami
4,10,2017,74.2,miami
4,11,2017,74.8,miami
4,12,2017,75.8,miami
4,13,2017,75.8,miami
4,14,2017,73.8,miami
4,15,2017,77.4,miami
4,16,2017,76.7,miami
4,17,2017,76.8,miami
4,18,2017,77.9,miami
4,19,2017,77.8,miami
4,20,2017,76.8,miami
4,21,2017,76.4,miami
4,22,2017,77.6,miami
4,23,2017,75.6,miami
4,24,2017,77.1,miami
4,25,2017,75.9,miami
4,26,2017,75.9,miami
4,27,2017,82,miami
4,28,2017,82.7,miami
4,29,2017,82.4,miami
4,30,2017,81.7,miami
5,1,2017,81.6,miami
5,2,2017,81.6,miami
5,3,2017,79.2,miami
5,4,2017,81.9,miami
5,5,2017,80.4,miami
5,6,2017,73.9,miami
5,7,2017,74.1,miami
5,8,2017,76.7,miami
5,9,2017,76.2,miami
5,10,2017,80.2,miami
5,11,2017,80.2,miami
5,12,2017,80.8,miami
5,13,2017,82.5,miami
5,14,2017,81.9,miami
5,15,2017,81.2,miami
5,16,2017,82.7,miami
5,17,2017,83.3,miami
5,18,2017,82.5,miami
5,19,2017,82.2,miami
5,20,2017,83.7,miami
5,21,2017,82.8,miami
5,22,2017,82.3,miami
5,23,2017,82.5,miami
5,24,2017,84.7,miami
5,25,2017,81.3,miami
5,26,2017,83.9,miami
5,27,2017,86,miami
5,28,2017,86.2,miami
5,29,2017,84.9,miami
5,30,2017,83.5,miami
5,31,2017,85.9,miami
6,1,2017,84.9,miami
6,2,2017,80.6,miami
6,3,2017,79.1,miami
6,4,2017,79.9,miami
6,5,2017,83.1,miami
6,6,2017,78.1,miami
6,7,2017,77.4,miami
6,8,2017,80,miami
6,9,2017,80.6,miami
6,10,2017,81.4,miami
6,11,2017,85.2,miami
6,12,2017,84.6,miami
6,13,2017,84.2,miami
6,14,2017,83,miami
6,15,2017,82.7,miami
6,16,2017,80.2,miami
6,17,2017,82.5,miami
6,18,2017,83,miami
6,19,2017,81.4,miami
6,20,2017,85.1,miami
6,21,2017,85.4,miami
6,22,2017,85,miami
6,23,2017,85.4,miami
6,24,2017,85.7,miami
6,25,2017,85.9,miami
6,26,2017,86,miami
6,27,2017,84.1,miami
6,28,2017,84,miami
6,29,2017,84,miami
6,30,2017,83.8,miami
7,1,2017,86.8,miami
7,2,2017,86.4,miami
7,3,2017,86.7,miami
7,4,2017,85.9,miami
7,5,2017,86.6,miami
7,6,2017,86.9,miami
7,7,2017,86.5,miami
7,8,2017,85.7,miami
7,9,2017,86.2,miami
7,10,2017,85,miami
7,11,2017,83.7,miami
7,12,2017,84.4,miami
7,13,2017,83.5,miami
7,14,2017,86.2,miami
7,15,2017,86.4,miami
7,16,2017,84.5,miami
7,17,2017,85.4,miami
7,18,2017,81.1,miami
7,19,2017,83.4,miami
7,20,2017,84.1,miami
7,21,2017,82.5,miami
7,22,2017,83.6,miami
7,23,2017,86,miami
7,24,2017,86.5,miami
7,25,2017,86.3,miami
7,26,2017,86.6,miami
7,27,2017,86.8,miami
7,28,2017,86.2,miami
7,29,2017,84.6,miami
7,30,2017,85.6,miami
7,31,2017,80.2,miami
8,1,2017,81,miami
8,2,2017,82.5,miami
8,3,2017,87.2,miami
8,4,2017,87.5,miami
8,5,2017,87.8,miami
8,6,2017,87.5,miami
8,7,2017,86.6,miami
8,8,2017,84.7,miami
8,9,2017,87.7,miami
8,10,2017,83.6,miami
8,11,2017,83.2,miami
8,12,2017,84.7,miami
8,13,2017,86.7,miami
8,14,2017,86.7,miami
8,15,2017,86.8,miami
8,16,2017,87.3,miami
8,17,2017,88.1,miami
8,18,2017,88.1,miami
8,19,2017,87,miami
8,20,2017,84,miami
8,21,2017,87,miami
8,22,2017,86.1,miami
8,23,2017,84.8,miami
8,24,2017,81.1,miami
8,25,2017,78.8,miami
8,26,2017,78.7,miami
8,27,2017,80.6,miami
8,28,2017,83.5,miami
8,29,2017,85.4,miami
8,30,2017,87.1,miami
8,31,2017,87.9,miami
9,1,2017,87.7,miami
9,2,2017,82.6,miami
9,3,2017,85,miami
9,4,2017,84.6,miami
9,5,2017,86,miami
9,6,2017,85.3,miami
9,7,2017,86.7,miami
9,8,2017,88.2,miami
9,9,2017,84.6,miami
9,10,2017,79.4,miami
9,11,2017,89.2,miami
9,12,2017,84.7,miami
9,13,2017,84.7,miami
9,14,2017,85.1,miami
9,15,2017,85.3,miami
9,16,2017,86,miami
9,17,2017,85.1,miami
9,18,2017,83.4,miami
9,19,2017,85.4,miami
9,20,2017,85,miami
9,21,2017,84.2,miami
9,22,2017,81.7,miami
9,23,2017,82.6,miami
9,24,2017,84.3,miami
9,25,2017,84.7,miami
9,26,2017,82.7,miami
9,27,2017,83.2,miami
9,28,2017,83.5,miami
9,29,2017,80.6,miami
9,30,2017,82.1,miami
10,1,2017,85.1,miami
10,2,2017,82.6,miami
10,3,2017,83.1,miami
10,4,2017,81,miami
10,5,2017,79.5,miami
10,6,2017,84.1,miami
10,7,2017,85,miami
10,8,2017,85,miami
10,9,2017,84.3,miami
10,10,2017,84.8,miami
10,11,2017,83.4,miami
10,12,2017,81.7,miami
10,13,2017,82.3,miami
10,14,2017,83.8,miami
10,15,2017,83.3,miami
10,16,2017,82.4,miami
10,17,2017,82.3,miami
10,18,2017,82.6,miami
10,19,2017,81.8,miami
10,20,2017,82.7,miami
10,21,2017,82.2,miami
10,22,2017,83.9,miami
10,23,2017,83.5,miami
10,24,2017,80.8,miami
10,25,2017,74.7,miami
10,26,2017,69.3,miami
10,27,2017,74.1,miami
10,28,2017,78.6,miami
10,29,2017,75.3,miami
10,30,2017,65.1,miami
10,31,2017,68.7,miami
11,1,2017,74.6,miami
11,2,2017,76.8,miami
11,3,2017,77.4,miami
11,4,2017,77.4,miami
11,5,2017,77.2,miami
11,6,2017,78.6,miami
11,7,2017,78.8,miami
11,8,2017,79,miami
11,9,2017,80,miami
11,10,2017,80.2,miami
11,11,2017,79.1,miami
11,12,2017,80.8,miami
11,13,2017,79.2,miami
11,14,2017,79.7,miami
11,15,2017,75.4,miami
11,16,2017,75,miami
11,17,2017,73.8,miami
11,18,2017,75.1,miami
11,19,2017,75.2,miami
11,20,2017,74.5,miami
11,21,2017,74.4,miami
11,22,2017,77.3,miami
11,23,2017,77.4,miami
11,24,2017,75.9,miami
11,25,2017,72.1,miami
11,26,2017,73.5,miami
11,27,2017,73.1,miami
11,28,2017,77.5,miami
11,29,2017,77.7,miami
11,30,2017,78,miami
12,1,2017,76,miami
12,2,2017,75.8,miami
12,3,2017,75.4,miami
12,4,2017,74.5,miami
12,5,2017,77.2,miami
12,6,2017,77,miami
12,7,2017,76.8,miami
12,8,2017,79,miami
12,9,2017,74.5,miami
12,10,2017,58.1,miami
12,11,2017,58.2,miami
12,12,2017,60.5,miami
12,13,2017,61.9,miami
12,14,2017,59.7,miami
12,15,2017,65.7,miami
12,16,2017,70.3,miami
12,17,2017,74.5,miami
12,18,2017,76.2,miami
12,19,2017,75.7,miami
12,20,2017,74.2,miami
12,21,2017,75.1,miami
12,22,2017,75.5,miami
12,23,2017,75.6,miami
12,24,2017,73.7,miami
12,25,2017,73.4,miami
12,26,2017,74.6,miami
12,27,2017,76,miami
12,28,2017,74.9,miami
12,29,2017,71.8,miami
12,30,2017,63.9,miami
12,31,2017,61.3,miami
1,1,2017,50.7,san_francisco
1,2,2017,47.4,san_francisco
1,3,2017,49.9,san_francisco
1,4,2017,55.5,san_francisco
1,5,2017,48.1,san_francisco
1,6,2017,44,san_francisco
1,7,2017,51,san_francisco
1,8,2017,59.5,san_francisco
1,9,2017,57.9,san_francisco
1,10,2017,57,san_francisco
1,11,2017,55.2,san_francisco
1,12,2017,49.3,san_francisco
1,13,2017,47.6,san_francisco
1,14,2017,48.2,san_francisco
1,15,2017,48.1,san_francisco
1,16,2017,48.1,san_francisco
1,17,2017,47.4,san_francisco
1,18,2017,50.3,san_francisco
1,19,2017,53.9,san_francisco
1,20,2017,51.8,san_francisco
1,21,2017,51.6,san_francisco
1,22,2017,52.7,san_francisco
1,23,2017,48.8,san_francisco
1,24,2017,46.9,san_francisco
1,25,2017,48.1,san_francisco
1,26,2017,48.5,san_francisco
1,27,2017,49.6,san_francisco
1,28,2017,49.1,san_francisco
1,29,2017,50.1,san_francisco
1,30,2017,49.7,san_francisco
1,31,2017,54.2,san_francisco
2,1,2017,51.9,san_francisco
2,2,2017,54.6,san_francisco
2,3,2017,59.1,san_francisco
2,4,2017,57.2,san_francisco
2,5,2017,54.6,san_francisco
2,6,2017,57.8,san_francisco
2,7,2017,59.8,san_francisco
2,8,2017,59.8,san_francisco
2,9,2017,63.5,san_francisco
2,10,2017,58.3,san_francisco
2,11,2017,52.8,san_francisco
2,12,2017,52.9,san_francisco
2,13,2017,51.8,san_francisco
2,14,2017,55.4,san_francisco
2,15,2017,56.7,san_francisco
2,16,2017,60.3,san_francisco
2,17,2017,56.6,san_francisco
2,18,2017,54.5,san_francisco
2,19,2017,52.3,san_francisco
2,20,2017,56.7,san_francisco
2,21,2017,57.3,san_francisco
2,22,2017,50.9,san_francisco
2,23,2017,48.2,san_francisco
2,24,2017,49,san_francisco
2,25,2017,48.7,san_francisco
2,26,2017,49.4,san_francisco
2,27,2017,48.9,san_francisco
2,28,2017,49.6,san_francisco
3,1,2017,50.1,san_francisco
3,2,2017,52,san_francisco
3,3,2017,53,san_francisco
3,4,2017,54.2,san_francisco
3,5,2017,50.8,san_francisco
3,6,2017,46.4,san_francisco
3,7,2017,49.6,san_francisco
3,8,2017,53.5,san_francisco
3,9,2017,55.8,san_francisco
3,10,2017,56.7,san_francisco
3,11,2017,57.5,san_francisco
3,12,2017,56.5,san_francisco
3,13,2017,56.7,san_francisco
3,14,2017,62.8,san_francisco
3,15,2017,58.8,san_francisco
3,16,2017,58.3,san_francisco
3,17,2017,55.9,san_francisco
3,18,2017,60.2,san_francisco
3,19,2017,57.7,san_francisco
3,20,2017,57.5,san_francisco
3,21,2017,60,san_francisco
3,22,2017,60.8,san_francisco
3,23,2017,54,san_francisco
3,24,2017,54.6,san_francisco
3,25,2017,55.8,san_francisco
3,26,2017,55.4,san_francisco
3,27,2017,55.8,san_francisco
3,28,2017,56.2,san_francisco
3,29,2017,58.6,san_francisco
3,30,2017,56.9,san_francisco
3,31,2017,58.1,san_francisco
4,1,2017,60.7,san_francisco
4,2,2017,58.7,san_francisco
4,3,2017,58.6,san_francisco
4,4,2017,55.4,san_francisco
4,5,2017,58,san_francisco
4,6,2017,60.9,san_francisco
4,7,2017,57.3,san_francisco
4,8,2017,53,san_francisco
4,9,2017,51.3,san_francisco
4,10,2017,53.2,san_francisco
4,11,2017,57.6,san_francisco
4,12,2017,58.6,san_francisco
4,13,2017,56.9,san_francisco
4,14,2017,53.6,san_francisco
4,15,2017,54.3,san_francisco
4,16,2017,56.4,san_francisco
4,17,2017,57.7,san_francisco
4,18,2017,57.3,san_francisco
4,19,2017,57.4,san_francisco
4,20,2017,59.8,san_francisco
4,21,2017,59.4,san_francisco
4,22,2017,59.6,san_francisco
4,23,2017,57.5,san_francisco
4,24,2017,56.5,san_francisco
4,25,2017,56.5,san_francisco
4,26,2017,58.9,san_francisco
4,27,2017,57.5,san_francisco
4,28,2017,56.9,san_francisco
4,29,2017,64.4,san_francisco
4,30,2017,59.8,san_francisco
5,1,2017,63.2,san_francisco
5,2,2017,66.8,san_francisco
5,3,2017,66.5,san_francisco
5,4,2017,58.9,san_francisco
5,5,2017,57.1,san_francisco
5,6,2017,54.6,san_francisco
5,7,2017,56.9,san_francisco
5,8,2017,57.7,san_francisco
5,9,2017,56.4,san_francisco
5,10,2017,58.8,san_francisco
5,11,2017,58.7,san_francisco
5,12,2017,57.8,san_francisco
5,13,2017,55.7,san_francisco
5,14,2017,54.8,san_francisco
5,15,2017,55.3,san_francisco
5,16,2017,55.4,san_francisco
5,17,2017,57.1,san_francisco
5,18,2017,57.6,san_francisco
5,19,2017,61.7,san_francisco
5,20,2017,63,san_francisco
5,21,2017,64.2,san_francisco
5,22,2017,58.4,san_francisco
5,23,2017,58.4,san_francisco
5,24,2017,57.8,san_francisco
5,25,2017,59.5,san_francisco
5,26,2017,58.9,san_francisco
5,27,2017,58.8,san_francisco
5,28,2017,57.2,san_francisco
5,29,2017,55.3,san_francisco
5,30,2017,55.2,san_francisco
5,31,2017,59.5,san_francisco
6,1,2017,61,san_francisco
6,2,2017,59.8,san_francisco
6,3,2017,59.1,san_francisco
6,4,2017,58.9,san_francisco
6,5,2017,58.4,san_francisco
6,6,2017,58,san_francisco
6,7,2017,58.6,san_francisco
6,8,2017,61.4,san_francisco
6,9,2017,62,san_francisco
6,10,2017,59.5,san_francisco
6,11,2017,58.8,san_francisco
6,12,2017,58.1,san_francisco
6,13,2017,59,san_francisco
6,14,2017,60.3,san_francisco
6,15,2017,60.7,san_francisco
6,16,2017,64.8,san_francisco
6,17,2017,65,san_francisco
6,18,2017,72.4,san_francisco
6,19,2017,69.4,san_francisco
6,20,2017,63.1,san_francisco
6,21,2017,62.1,san_francisco
6,22,2017,67.1,san_francisco
6,23,2017,64.3,san_francisco
6,24,2017,62.3,san_francisco
6,25,2017,60.7,san_francisco
6,26,2017,63.9,san_francisco
6,27,2017,61.7,san_francisco
6,28,2017,60.1,san_francisco
6,29,2017,59.4,san_francisco
6,30,2017,58.4,san_francisco
7,1,2017,58.5,san_francisco
7,2,2017,60.5,san_francisco
7,3,2017,61.8,san_francisco
7,4,2017,62.6,san_francisco
7,5,2017,59.8,san_francisco
7,6,2017,59.8,san_francisco
7,7,2017,64.1,san_francisco
7,8,2017,67.6,san_francisco
7,9,2017,59.8,san_francisco
7,10,2017,60.8,san_francisco
7,11,2017,61.8,san_francisco
7,12,2017,61.8,san_francisco
7,13,2017,60.6,san_francisco
7,14,2017,61.3,san_francisco
7,15,2017,63.4,san_francisco
7,16,2017,68.4,san_francisco
7,17,2017,64.2,san_francisco
7,18,2017,62.2,san_francisco
7,19,2017,60.9,san_francisco
7,20,2017,60.9,san_francisco
7,21,2017,61.2,san_francisco
7,22,2017,63.2,san_francisco
7,23,2017,64.4,san_francisco
7,24,2017,62,san_francisco
7,25,2017,65.9,san_francisco
7,26,2017,64.9,san_francisco
7,27,2017,62.2,san_francisco
7,28,2017,61.3,san_francisco
7,29,2017,61.1,san_francisco
7,30,2017,61.4,san_francisco
7,31,2017,61.7,san_francisco
8,1,2017,61.3,san_francisco
8,2,2017,64.2,san_francisco
8,3,2017,68.2,san_francisco
8,4,2017,70,san_francisco
8,5,2017,65.1,san_francisco
8,6,2017,64.4,san_francisco
8,7,2017,64.4,san_francisco
8,8,2017,63.8,san_francisco
8,9,2017,63.1,san_francisco
8,10,2017,62.6,san_francisco
8,11,2017,62.4,san_francisco
8,12,2017,64,san_francisco
8,13,2017,65.3,san_francisco
8,14,2017,63,san_francisco
8,15,2017,61.8,san_francisco
8,16,2017,64.2,san_francisco
8,17,2017,65.3,san_francisco
8,18,2017,66,san_francisco
8,19,2017,63.2,san_francisco
8,20,2017,66.1,san_francisco
8,21,2017,65,san_francisco
8,22,2017,65.4,san_francisco
8,23,2017,63,san_francisco
8,24,2017,61.3,san_francisco
8,25,2017,61.9,san_francisco
8,26,2017,61.5,san_francisco
8,27,2017,67.5,san_francisco
8,28,2017,64.5,san_francisco
8,29,2017,61.2,san_francisco
8,30,2017,60.7,san_francisco
8,31,2017,64.4,san_francisco
9,1,2017,77.9,san_francisco
9,2,2017,82.7,san_francisco
9,3,2017,81.7,san_francisco
9,4,2017,72.3,san_francisco
9,5,2017,76.2,san_francisco
9,6,2017,69.7,san_francisco
9,7,2017,68.7,san_francisco
9,8,2017,65.1,san_francisco
9,9,2017,65.7,san_francisco
9,10,2017,67.1,san_francisco
9,11,2017,75.6,san_francisco
9,12,2017,71.8,san_francisco
9,13,2017,67.8,san_francisco
9,14,2017,65.1,san_francisco
9,15,2017,63.2,san_francisco
9,16,2017,61.9,san_francisco
9,17,2017,62.4,san_francisco
9,18,2017,64.3,san_francisco
9,19,2017,63.7,san_francisco
9,20,2017,64,san_francisco
9,21,2017,61.7,san_francisco
9,22,2017,61.4,san_francisco
9,23,2017,63.1,san_francisco
9,24,2017,64.2,san_francisco
9,25,2017,66.3,san_francisco
9,26,2017,68.7,san_francisco
9,27,2017,72.3,san_francisco
9,28,2017,69.5,san_francisco
9,29,2017,61.6,san_francisco
9,30,2017,62.6,san_francisco
10,1,2017,62.7,san_francisco
10,2,2017,64.6,san_francisco
10,3,2017,58.9,san_francisco
10,4,2017,61.6,san_francisco
10,5,2017,60.2,san_francisco
10,6,2017,63.3,san_francisco
10,7,2017,64.2,san_francisco
10,8,2017,61.3,san_francisco
10,9,2017,70.3,san_francisco
10,10,2017,65,san_francisco
10,11,2017,57,san_francisco
10,12,2017,58.1,san_francisco
10,13,2017,58.1,san_francisco
10,14,2017,61.5,san_francisco
10,15,2017,64.9,san_francisco
10,16,2017,66.8,san_francisco
10,17,2017,67.1,san_francisco
10,18,2017,54.2,san_francisco
10,19,2017,57.3,san_francisco
10,20,2017,59.1,san_francisco
10,21,2017,57.3,san_francisco
10,22,2017,59.8,san_francisco
10,23,2017,65.9,san_francisco
10,24,2017,74.4,san_francisco
10,25,2017,70.7,san_francisco
10,26,2017,69.8,san_francisco
10,27,2017,67,san_francisco
10,28,2017,58.5,san_francisco
10,29,2017,55.8,san_francisco
10,30,2017,56.6,san_francisco
10,31,2017,58.2,san_francisco
11,1,2017,57.1,san_francisco
11,2,2017,57,san_francisco
11,3,2017,61.6,san_francisco
11,4,2017,59.5,san_francisco
11,5,2017,53.3,san_francisco
11,6,2017,55.9,san_francisco
11,7,2017,53.9,san_francisco
11,8,2017,57.8,san_francisco
11,9,2017,62.3,san_francisco
11,10,2017,60.4,san_francisco
11,11,2017,59,san_francisco
11,12,2017,56.3,san_francisco
11,13,2017,59.7,san_francisco
11,14,2017,59.2,san_francisco
11,15,2017,56.9,san_francisco
11,16,2017,59.3,san_francisco
11,17,2017,56.1,san_francisco
11,18,2017,53.9,san_francisco
11,19,2017,52.6,san_francisco
11,20,2017,58.2,san_francisco
11,21,2017,61.3,san_francisco
11,22,2017,60.5,san_francisco
11,23,2017,61.8,san_francisco
11,24,2017,61.6,san_francisco
11,25,2017,61.2,san_francisco
11,26,2017,63.8,san_francisco
11,27,2017,56.7,san_francisco
11,28,2017,53.3,san_francisco
11,29,2017,55,san_francisco
11,30,2017,54.7,san_francisco
12,1,2017,53.6,san_francisco
12,2,2017,52.7,san_francisco
12,3,2017,54.8,san_francisco
12,4,2017,55.1,san_francisco
12,5,2017,57,san_francisco
12,6,2017,53,san_francisco
12,7,2017,54.6,san_francisco
12,8,2017,52.8,san_francisco
12,9,2017,53,san_francisco
12,10,2017,53.1,san_francisco
12,11,2017,54.1,san_francisco
12,12,2017,53,san_francisco
12,13,2017,51.5,san_francisco
12,14,2017,51.8,san_francisco
12,15,2017,52.6,san_francisco
12,16,2017,56.3,san_francisco
12,17,2017,57.9,san_francisco
12,18,2017,51.7,san_francisco
12,19,2017,51,san_francisco
12,20,2017,52.5,san_francisco
12,21,2017,49.9,san_francisco
12,22,2017,46.3,san_francisco
12,23,2017,48.9,san_francisco
12,24,2017,50.5,san_francisco
12,25,2017,50.8,san_francisco
12,26,2017,51.7,san_francisco
12,27,2017,48.5,san_francisco
12,28,2017,50.5,san_francisco
12,29,2017,51.3,san_francisco
12,30,2017,50.7,san_francisco
12,31,2017,53,san_francisco
